SYMBOL_NAME,Time,ASK_PRICE,ASK_SIZE,BID_PRICE,BID_SIZE
MILLBURN::::CL.NY.J.2025,2025-03-02T18:51:00.000000000-0500,70.18,3,70.17,3
MILLBURN::::CL.NY.J.2025,2025-03-02T18:52:00.000000000-0500,70.19,2,70.18,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:53:00.000000000-0500,70.2,5,70.19,1
MILLBURN::::CL.NY.J.2025,2025-03-02T18:54:00.000000000-0500,70.2,6,70.18,9
MILLBURN::::CL.NY.J.2025,2025-03-02T18:55:00.000000000-0500,70.19,8,70.17,5
MILLBURN::::CL.NY.J.2025,2025-03-02T18:56:00.000000000-0500,70.17,1,70.16,8
MILLBURN::::CL.NY.J.2025,2025-03-02T18:57:00.000000000-0500,70.17,6,70.16,1
MILLBURN::::CL.NY.J.2025,2025-03-02T18:58:00.000000000-0500,70.17,3,70.16,3
MILLBURN::::CL.NY.J.2025,2025-03-02T18:59:00.000000000-0500,70.19,4,70.17,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:00:00.000000000-0500,70.22,8,70.2,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:01:00.000000000-0500,70.22,3,70.21,3
MILLBURN::::CL.NY.J.2025,2025-03-02T19:02:00.000000000-0500,70.22,4,70.21,3
MILLBURN::::CL.NY.J.2025,2025-03-02T19:03:00.000000000-0500,70.24,23,70.22,8
MILLBURN::::CL.NY.J.2025,2025-03-02T19:04:00.000000000-0500,70.25,8,70.23,12
MILLBURN::::CL.NY.J.2025,2025-03-02T19:05:00.000000000-0500,70.23,3,70.22,3
MILLBURN::::CL.NY.J.2025,2025-03-02T19:06:00.000000000-0500,70.2,3,70.19,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:07:00.000000000-0500,70.21,5,70.19,14
MILLBURN::::CL.NY.J.2025,2025-03-02T19:08:00.000000000-0500,70.24,21,70.23,4
MILLBURN::::CL.NY.J.2025,2025-03-02T19:09:00.000000000-0500,70.25,7,70.23,11
MILLBURN::::CL.NY.J.2025,2025-03-02T19:10:00.000000000-0500,70.24,7,70.22,14
MILLBURN::::CL.NY.J.2025,2025-03-02T19:11:00.000000000-0500,70.26,5,70.24,8
MILLBURN::::CL.NY.J.2025,2025-03-02T19:12:00.000000000-0500,70.24,2,70.23,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:13:00.000000000-0500,70.25,7,70.23,12
MILLBURN::::CL.NY.J.2025,2025-03-02T19:14:00.000000000-0500,70.24,2,70.23,5
MILLBURN::::CL.NY.J.2025,2025-03-02T19:15:00.000000000-0500,70.24,2,70.23,5
MILLBURN::::CL.NY.J.2025,2025-03-02T19:16:00.000000000-0500,70.23,1,70.22,16
MILLBURN::::CL.NY.J.2025,2025-03-02T19:17:00.000000000-0500,70.21,3,70.2,17
MILLBURN::::CL.NY.J.2025,2025-03-02T19:18:00.000000000-0500,70.22,5,70.2,20
MILLBURN::::CL.NY.J.2025,2025-03-02T19:19:00.000000000-0500,70.19,5,70.18,8
MILLBURN::::CL.NY.J.2025,2025-03-02T19:20:00.000000000-0500,70.19,4,70.18,5
MILLBURN::::CL.NY.J.2025,2025-03-02T19:21:00.000000000-0500,70.19,6,70.17,10
MILLBURN::::CL.NY.J.2025,2025-03-02T19:22:00.000000000-0500,70.18,4,70.17,8
MILLBURN::::CL.NY.J.2025,2025-03-02T19:23:00.000000000-0500,70.19,8,70.17,19
MILLBURN::::CL.NY.J.2025,2025-03-02T19:24:00.000000000-0500,70.19,7,70.18,5
MILLBURN::::CL.NY.J.2025,2025-03-02T19:25:00.000000000-0500,70.19,5,70.18,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:26:00.000000000-0500,70.19,10,70.17,16
MILLBURN::::CL.NY.J.2025,2025-03-02T19:27:00.000000000-0500,70.23,7,70.22,2
